,ID,Year_Birth,Kidhome,Teenhome,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Day_Customer_Enroll,Month_Customer_Enroll,Year_Customer_Enroll,Total_Children,Age,Education_encoded,Country_AUS,Country_CA,Country_GER,Country_IND,Country_ME,Country_SA,Country_SP,Country_US,Income_Normalized,Total_Spending_Standardized,MntWines_Standardized,MntFruits_Standardized,MntMeatProducts_Standardized,MntFishProducts_Standardized,MntSweetProducts_Standardized,MntGoldProds_Standardized,Marital_Status_Standardized
0,1826,1970,0,0,0,1,4,4,6,1,0,0,0,0,0,1,0,16,6,2014,0,55,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.125,0.9702497673449316,-0.3415397168777292,1.9539453741397035,0.9396672724721243,1.3452742562284872,3.9237222968615044,3.3357392279478764,0.13950038983227211
1,1,1961,0,0,0,1,7,3,7,5,0,0,0,0,1,1,0,15,6,2014,0,64,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,-0.047828441120734644,0.47564250298384386,-0.5357090570596016,-0.4562072421646083,-0.5589023035072593,-0.6557331010948403,-0.13463269529572466,0.01978247240811857
2,10476,1958,0,1,0,1,3,2,5,2,0,0,0,0,0,0,0,13,5,2014,1,67,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0986,-0.5892533937468476,-0.5049761608500438,-0.38482090971418914,-0.4783639804921755,-0.41242718352758656,-0.6072732556138207,-0.26884597409520095,-0.43302037532744686
3,1386,1967,1,1,0,1,1,0,2,7,0,0,0,0,0,0,0,11,5,2014,2,58,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0462,-0.9878484508949061,-0.8734510527148986,-0.6614491798474453,-0.7353821450919548,-0.6870680334894731,-0.6557331010948403,-0.8440457403786708,0.0747787930849252
4,5371,1989,1,0,0,2,3,1,2,7,1,0,0,0,0,1,0,8,4,2014,1,36,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0297,-0.8549834318455533,-0.8853373395492488,-0.25908078692634545,-0.6334611487851458,-0.48566474351742295,-0.6557331010948403,-0.19215267192407165,0.01978247240811857
5,7348,1958,0,0,0,1,4,7,5,2,0,0,0,0,0,1,0,17,3,2014,0,67,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1052,0.9735713928211654,0.09528132428463892,2.6077940126364907,1.0814703977685542,3.7071855659007116,0.11962442660147204,-0.019592742039030716,0.01978247240811857
6,4073,1954,0,0,0,1,10,10,7,6,1,0,0,0,0,1,0,29,1,2014,0,71,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.093,1.0117700857978544,1.3819718741030431,1.350392784758054,0.37688611895191787,-0.41242718352758656,0.16808427208249158,0.40222041990218044,-0.43302037532744686
7,1991,1967,0,1,0,1,2,1,3,5,0,0,0,0,0,0,0,18,1,2014,1,58,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.065,-0.8466793681549687,-0.6713841765309461,-0.6614491798474453,-0.6910686684368205,-0.6870680334894731,-0.6557331010948403,-0.7098324615791944,0.0747787930849252
8,4047,1954,0,1,0,3,6,2,9,4,0,0,0,0,0,0,0,11,1,2014,1,71,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0956,-0.1026352614785927,0.23791676629684078,-0.6614491798474453,-0.28781603087509766,-0.3025708435428319,0.11962442660147204,-0.7481791126647591,-0.43302037532744686
9,9477,1954,0,1,0,3,6,2,9,4,0,0,0,0,0,0,0,11,1,2014,1,71,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0956,-0.1026352614785927,0.23791676629684078,-0.6614491798474453,-0.28781603087509766,-0.3025708435428319,0.11962442660147204,-0.7481791126647591,-0.43302037532744686
