ID,Year_Birth,Kidhome,Teenhome,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Day_Customer_Enroll,Month_Customer_Enroll,Year_Customer_Enroll,Total_Children,Age,Education_Encoded,Country_AUS,Country_CA,Country_GER,Country_IND,Country_ME,Country_SA,Country_SP,Country_US,Income_Normalized,Total_Spending_Standardized,MntWines_Standardized,MntFruits_Standardized,MntMeatProducts_Standardized,MntFishProducts_Standardized,MntSweetProducts_Standardized,MntGoldProds_Standardized,Marital_Status_Standardized
1826,1970,0,0,0,1,4,4,6,1,0,0,0,0,0,1,0,16,6,2014,0,55,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.125,0.9702,-0.3415,1.9539,0.9397,1.3453,3.9237,3.3357,0.1395
1,1961,0,0,0,1,7,3,7,5,0,0,0,0,1,1,0,15,6,2014,0,64,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,-0.0478,0.4756,-0.5357,-0.4562,-0.5589,-0.6557,-0.1346,0.0198
10476,1958,0,1,0,1,3,2,5,2,0,0,0,0,0,0,0,13,5,2014,1,67,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0986,-0.5893,-0.505,-0.3848,-0.4784,-0.4124,-0.6073,-0.2688,-0.433
1386,1967,1,1,0,1,1,0,2,7,0,0,0,0,0,0,0,11,5,2014,2,58,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0462,-0.9878,-0.8735,-0.6614,-0.7354,-0.6871,-0.6557,-0.844,0.0748
5371,1989,1,0,0,2,3,1,2,7,1,0,0,0,0,1,0,8,4,2014,1,36,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0297,-0.855,-0.8853,-0.2591,-0.6335,-0.4857,-0.6557,-0.1922,0.0198
7348,1958,0,0,0,1,4,7,5,2,0,0,0,0,0,1,0,17,3,2014,0,67,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1052,0.9736,0.0953,2.6078,1.0815,3.7072,0.1196,-0.0196,0.0198
4073,1954,0,0,0,1,10,10,7,6,1,0,0,0,0,1,0,29,1,2014,0,71,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.093,1.0118,1.382,1.3504,0.3769,-0.4124,0.1681,0.4022,-0.433
1991,1967,0,1,0,1,2,1,3,5,0,0,0,0,0,0,0,18,1,2014,1,58,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.065,-0.8467,-0.6714,-0.6614,-0.6911,-0.6871,-0.6557,-0.7098,0.0748
4047,1954,0,1,0,3,6,2,9,4,0,0,0,0,0,0,0,11,1,2014,1,71,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0956,-0.1026,0.2379,-0.6614,-0.2878,-0.3026,0.1196,-0.7482,-0.433
9477,1954,0,1,0,3,6,2,9,4,0,0,0,0,0,0,0,11,1,2014,1,71,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0956,-0.1026,0.2379,-0.6614,-0.2878,-0.3026,0.1196,-0.7482,-0.433
2079,1947,0,0,0,1,5,6,10,1,0,0,0,0,0,0,0,27,12,2013,0,78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1193,1.0001,0.434,-0.0076,1.631,0.6495,1.7188,-0.3455,-0.433
5642,1979,1,0,0,2,3,1,6,4,0,0,0,0,0,0,0,9,12,2013,1,46,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0914,-0.6374,-0.4871,-0.5609,-0.4695,-0.6871,-0.3407,-0.7674,0.0748
10530,1959,0,0,0,1,3,6,6,1,0,0,0,0,0,1,0,7,12,2013,0,66,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0993,0.9138,0.3776,1.4007,1.2144,0.7777,-0.1711,1.1116,3.841
2964,1981,0,0,0,1,1,1,2,6,0,0,0,0,0,0,0,16,10,2013,0,44,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0378,-0.8865,-0.8943,-0.41,-0.7044,-0.6321,-0.2681,-0.2305,-0.433
10311,1969,0,1,0,0,25,0,0,1,0,0,0,0,0,0,0,5,10,2013,1,56,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0041,-0.4099,-0.8556,-0.5609,-0.6866,-0.6504,-0.5588,5.3106,-0.433
837,1977,1,1,0,4,2,1,5,4,0,0,0,0,0,0,0,11,9,2013,2,48,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0798,-0.7171,-0.716,-0.5106,-0.4872,-0.449,-0.3407,-0.4222,-0.433
10521,1977,1,1,0,4,2,1,5,4,0,0,0,0,0,1,0,11,9,2013,2,48,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0798,-0.7171,-0.716,-0.5106,-0.4872,-0.449,-0.3407,-0.4222,-0.433
10175,1958,0,1,0,1,1,0,3,4,0,0,0,0,0,0,0,1,8,2013,1,67,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0458,-0.9696,-0.8497,-0.6614,-0.731,-0.6871,-0.6557,-0.8057,0.1395
1473,1960,0,1,0,2,2,0,3,8,0,0,0,0,0,0,0,23,7,2013,1,65,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0693,-0.8865,-0.7457,-0.6363,-0.7177,-0.6504,-0.6315,-0.6523,0.0198
2795,1958,2,1,0,1,1,0,2,7,0,0,0,0,0,0,0,1,7,2013,3,67,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0433,-0.9845,-0.8883,-0.6614,-0.7265,-0.6871,-0.6557,-0.7482,0.0198
2285,1954,0,1,0,3,5,2,5,7,0,0,0,0,0,0,0,28,5,2013,1,71,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0525,-0.4497,-0.2702,-0.4351,-0.403,-0.6138,-0.583,-0.2688,0.0748
115,1966,0,1,0,3,5,1,8,5,0,0,0,0,0,0,0,26,3,2013,1,59,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0628,-0.3534,-0.086,-0.3848,-0.4385,-0.2293,-0.4861,-0.7098,0.0198
