year,month,interest_rate,unemployment_rate,index_price
2016,5,1.84,5.1,900
2016,7,2.34,5.6,1102
2016,5,2.74,5.6,1407
2016,8,2.31,5.6,974
2016,5,2.65,6.1,1304
2016,5,2.27,5.2,912
2016,3,2.58,5.3,1321
2016,6,2.22,5.4,1410
2016,6,2.73,6.4,1074
2017,8,1.99,6.0,1023
2016,6,2.12,5.0,971
2017,1,2.65,6.1,1424
2017,1,2.5,6.3,1253
2016,2,2.4,5.2,1156
2017,5,1.87,5.0,984
2017,8,2.01,6.0,1089
2016,2,2.72,6.0,1405
2016,12,1.88,5.5,1123
2017,9,2.55,5.1,1333
2016,6,1.97,6.3,964
2016,5,2.17,5.9,1499
2017,12,1.87,6.3,1327
2016,10,1.99,5.3,906
2016,1,1.99,6.4,1393
2017,10,2.37,6.0,1196
2017,8,2.4,6.2,1038
2017,11,2.07,6.5,949
2017,3,2.02,6.0,1438
2016,8,2.58,5.4,1005
2016,5,2.74,5.5,1184
2017,10,2.66,6.0,1136
2017,6,2.68,6.1,916
2016,9,2.61,5.4,1039
2016,9,2.35,5.5,997
2016,9,2.4,6.3,1105
2017,8,2.3,5.1,1175
2017,4,1.93,5.9,1295
2017,4,2.36,5.6,1423
2017,9,2.05,5.3,1408
2016,6,2.64,6.3,1052
2016,10,2.09,5.8,1121
2017,7,2.13,5.2,1142
2016,10,2.48,5.7,1270
2016,1,2.47,5.2,1250
2017,11,2.35,5.3,917
2016,1,1.99,5.3,1431
2017,10,2.25,6.2,1293
2016,8,2.13,5.4,1111
2017,8,2.48,5.3,946
2017,6,2.25,5.7,926
